"Source:","C:\Users\billy\Documents\KICAD\gearhobbingmachine\qwiic_led_stick\Hardware\KiCad\Qwiic LED Stick.sch"
"Date:","12/5/2019 10:31:57 AM"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","39"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","4.7uF","4.7UF-0603-6.3V-(10%)","Qwiic LED Stick:0603","",""
"C4, ","1","0.1uF","0.1UF-0603-25V-(+80_-20%)","Qwiic LED Stick:0603","",""
"D1, ","1","RED","LED-RED0603","Qwiic LED Stick:LED-0603","",""
"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, ","10","APA1025050","APA1025050","Qwiic LED Stick:APA102-5050","",""
"FRAME1, ","1","FRAME-LETTER","FRAME-LETTER","Qwiic LED Stick:CREATIVE_COMMONS","",""
"I2C1, ","1","JUMPER-SMT_3_2-NC_TRACE_SILK","JUMPER-SMT_3_2-NC_TRACE_SILK","Qwiic LED Stick:SMT-JUMPER_3_2-NC_TRACE_SILK","",""
"J1, ","1","CONN_021X02_NO_SILK","CONN_021X02_NO_SILK","Qwiic LED Stick:1X02_NO_SILK","",""
"J2, J4, ","2","SMD","I2C_STANDARDJS-1MM","Qwiic LED Stick:1X04_1MM_RA","",""
"J3, ","1","PTH","I2C_STANDARD_NO_SILK","Qwiic LED Stick:1X04_NO_SILK","",""
"J5, ","1","CONN_041X04_NO_SILK","CONN_041X04_NO_SILK","Qwiic LED Stick:1X04_NO_SILK","",""
"J6, ","1","AVR_SPI_PROG_3X2TESTPOINTS","AVR_SPI_PROG_3X2TESTPOINTS","Qwiic LED Stick:2X3_TEST_POINTS","",""
"JP2, JP6, JP1, JP5, ","4","FIDUCIALUFIDUCIAL","FIDUCIALUFIDUCIAL","Qwiic LED Stick:MICRO-FIDUCIAL","",""
"JP3, JP4, JP7, JP8, ","4","STAND-OFF","STAND-OFF","Qwiic LED Stick:STAND-OFF","",""
"JP9, ","1","JUMPER-SMT_2_NO_SILK","JUMPER-SMT_2_NO_SILK","Qwiic LED Stick:SMT-JUMPER_2_NO_SILK","",""
"JP10, ","1","JUMPER-SMT_3_1-NC_TRACE_SILK","JUMPER-SMT_3_1-NC_TRACE_SILK","Qwiic LED Stick:SMT-JUMPER_3_1-NC_TRACE_SILK","",""
"LOGO1, ","1","OSHW-LOGOMINI","OSHW-LOGOMINI","Qwiic LED Stick:OSHW-LOGO-MINI","",""
"R2, ","1","4.7k","4.7KOHM-0603-1_10W-1%","Qwiic LED Stick:0603","",""
"R3, ","1","1k","1KOHM-0603-1_10W-1%","Qwiic LED Stick:0603","",""
"R4, R5, ","2","2.2k","2.2KOHM-0603-1_10W-1%","Qwiic LED Stick:0603","",""
"U1, ","1","Tiny85-20-SMT","ATTINY85-ARDUINOTINY85-20-SMT","Qwiic LED Stick:SO08-EIAJ_MCU","",""
"U$2, U$1, ","2","SPARKX-LOGO4","SPARKX-LOGO4","Qwiic LED Stick:SPARKX-MEDIUM","",""
